City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
253,Ketchikan,US,55.3422,-131.6461,35.58,86,100,6.91,light snow
254,Aranos,NA,-24.1333,19.1167,72.05,69,96,6.85,overcast clouds
255,Bulgan,MN,48.8125,103.5347,-5.71,87,4,4.52,clear sky
256,Sylvania,US,41.7189,-83.713,39.81,93,100,1.99,snow
257,Sibolga,ID,1.7427,98.7792,77.4,83,100,3.24,overcast clouds
258,Sakaraha,MG,-22.9,44.5333,78.57,51,6,1.81,clear sky
259,Kavieng,PG,-2.5744,150.7967,78.96,85,100,13.24,moderate rain
260,Durban,ZA,-29.8579,31.0292,83.93,88,30,5.01,scattered clouds
261,Takestan,IR,36.0696,49.6959,39.58,46,0,3.31,clear sky
262,Tashtyp,RU,52.7939,89.8983,-6.36,100,63,2.86,broken clouds
263,Zelenoborskiy,RU,66.845,32.3622,11.79,94,100,7.02,overcast clouds
264,Asau,RO,46.4333,26.4,34.72,88,97,5.97,overcast clouds
265,New Norfolk,AU,-42.7826,147.0587,54.9,64,59,3.0,broken clouds
266,Severo-Yeniseyskiy,RU,60.3725,93.0408,8.53,96,100,4.5,overcast clouds
267,Pedernales,DO,18.0384,-71.744,82.08,59,3,5.75,clear sky
268,Castro,BR,-24.7911,-50.0119,77.76,63,75,4.56,broken clouds
269,Twin Falls,US,42.3505,-114.6445,16.14,93,100,14.97,overcast clouds
270,Ponta Do Sol,PT,32.6667,-17.1,67.01,77,100,5.97,overcast clouds
271,Zaysan,KZ,47.4667,84.8667,-1.41,88,40,3.42,scattered clouds
272,Xianyang,CN,34.3378,108.7026,33.98,59,85,4.03,overcast clouds
273,Lexington,US,37.9887,-84.4777,46.29,80,100,1.99,light rain
274,Hofn,IS,64.2539,-15.2082,27.79,63,47,5.68,scattered clouds
275,Zeya,RU,53.75,127.2667,-7.94,87,100,4.85,overcast clouds
276,Buchanan,LR,5.8808,-10.0467,89.56,65,26,11.68,scattered clouds
277,Bashmakovo,RU,53.2133,43.0342,16.52,99,99,4.59,overcast clouds
278,Sitrah,BH,26.1547,50.6206,62.6,69,0,5.99,clear sky
279,Kahului,US,20.8947,-156.47,67.68,78,0,5.75,clear sky
280,Dvinskoy,RU,62.1535,45.1175,23.47,97,100,3.4,light snow
281,Natal,BR,-5.795,-35.2094,88.45,62,40,19.57,scattered clouds
282,Nowa Sol,PL,51.8033,15.717,39.06,94,100,16.71,overcast clouds
283,Stornoway,GB,58.2093,-6.3865,48.16,94,75,5.01,light rain
284,Tahta,EG,26.7693,31.5021,63.95,25,78,4.97,broken clouds
285,North Platte,US,41.1239,-100.7654,10.29,40,100,11.5,overcast clouds
286,Yar-Sale,RU,66.8333,70.8333,-8.75,93,97,10.65,overcast clouds
287,Beloha,MG,-25.1667,45.05,74.57,71,0,21.21,clear sky
288,Mtwango,TZ,-9.0167,34.8,59.94,97,89,2.89,moderate rain
289,Yuanping,CN,38.7153,112.7575,22.19,27,0,3.69,clear sky
290,Luanda,AO,-8.8368,13.2343,78.35,69,6,13.65,clear sky
291,Vao,NC,-22.6667,167.4833,77.74,83,50,16.53,scattered clouds
292,Sembakung,ID,3.8167,117.25,72.55,98,98,1.34,overcast clouds
293,Santa Rosa,PH,14.3122,121.1114,79.09,77,97,9.98,overcast clouds
294,Vila Velha,BR,-20.3297,-40.2925,82.35,80,75,8.05,broken clouds
295,Altay,CN,47.8667,88.1167,4.89,73,20,6.89,few clouds
296,Sioux Lookout,CA,50.1001,-91.917,-11.52,84,46,10.42,scattered clouds
297,Lavrentiya,RU,65.5833,-171.0,-1.98,77,1,17.36,clear sky
298,Charters Towers,AU,-20.1,146.2667,76.42,91,100,4.32,moderate rain
299,Bonavista,CA,48.6499,-53.1147,29.12,74,68,7.11,broken clouds
300,Bereda,ES,43.2686,-7.5406,58.75,71,32,0.67,scattered clouds
301,Arinos,BR,-15.9169,-46.1056,86.95,53,80,3.85,broken clouds
302,Verkhovazhye,RU,60.7472,42.0465,21.65,96,100,3.91,overcast clouds
303,Rabo De Peixe,PT,37.8,-25.5833,63.28,92,20,11.5,few clouds
304,Doba,TD,8.65,16.85,84.61,12,11,6.98,few clouds
305,Sorada,IN,19.75,84.4333,66.92,61,6,2.57,clear sky
306,Luwuk,ID,-0.9516,122.7875,77.34,80,100,4.61,overcast clouds
307,Ishigaki,JP,24.3448,124.1572,71.78,78,72,17.27,broken clouds
308,Sabile,LV,57.0458,22.5726,23.16,92,99,4.47,overcast clouds
309,Bengkulu,ID,-3.8004,102.2655,76.46,86,94,4.9,overcast clouds
310,Oriximina,BR,-1.7656,-55.8661,78.82,88,98,5.12,light rain
311,Gigmoto,PH,13.7796,124.39,76.78,89,100,11.39,overcast clouds
312,Kungurtug,RU,50.5994,97.5228,-14.17,96,61,1.86,broken clouds
313,Dabhol,IN,17.6,73.1667,68.88,75,1,4.47,clear sky
