City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
215,Mountrath,IE,49.59,overcast clouds,52.9989,-7.4728,Conlan House
218,Olafsvik,IS,31.78,snow,64.8945,-23.7142,Hotel Olafsvik
219,Morozovsk,RU,37.33,moderate rain,48.3539,41.8261,Gostinitsa
222,Nouadhibou,MR,71.69,clear sky,20.931,-17.0347,El Medina
224,Byron Bay,AU,77.05,overcast clouds,-28.65,153.6167,Backpackers Inn
225,Inta,RU,14.11,light snow,66.0317,60.1659,Apartments in Inta city
226,Seoul,KR,27.01,broken clouds,37.5683,126.9778,LOTTE Hotel Seoul
227,Constitucion,CL,67.51,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
228,Carnarvon,AU,79.63,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
229,Buritizeiro,BR,83.28,broken clouds,-17.3511,-44.9622,Santos Palace Hotel
230,Dawei,MM,70.25,clear sky,14.0833,98.2,Hotel Dawei
231,Laguna De Perlas,NI,82.49,scattered clouds,12.3429,-83.6712,Hotel Best View
232,Tuatapere,NZ,56.82,moderate rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
233,Bowen,AU,80.22,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
235,Kijang,KR,33.46,overcast clouds,35.2442,129.2139,Samyang Beach Villa
236,Mwinilunga,ZM,65.61,light rain,-11.7358,24.4293,Kwakuwahi Lodge
239,Kamaishi,JP,31.21,scattered clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
242,Phan Thiet,VN,73.17,broken clouds,10.9333,108.1,Hotel Saigon-PT
245,Coihaique,CL,67.95,scattered clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
248,Malihabad,IN,55.31,clear sky,26.9167,80.7167,Maharaja nursery
250,Raudeberg,NO,34.47,overcast clouds,61.9875,5.1352,Nordre Silda.
251,Porto Novo,BJ,84.02,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
252,Tricase,IT,50.83,clear sky,39.9304,18.3553,Hotel Adriatico
253,Ketchikan,US,35.58,light snow,55.3422,-131.6461,Snow's Cove Lodge
256,Sylvania,US,39.81,snow,41.7189,-83.713,Wingate by Wyndham Sylvania/Toledo
257,Sibolga,ID,77.4,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
258,Sakaraha,MG,78.57,clear sky,-22.9,44.5333,Le Relais
259,Kavieng,PG,78.96,moderate rain,-2.5744,150.7967,Nusa Island Retreat
260,Durban,ZA,83.93,scattered clouds,-29.8579,31.0292,Hilton Durban
261,Takestan,IR,39.58,clear sky,36.0696,49.6959,baghdadi hotelهتل و رستوران بغدادی
263,Zelenoborskiy,RU,11.79,overcast clouds,66.845,32.3622,Turisticheskaya baza
264,Asau,RO,34.72,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
265,New Norfolk,AU,54.9,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
267,Pedernales,DO,82.08,clear sky,18.0384,-71.744,Hotel Costa Marina
268,Castro,BR,77.76,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
270,Ponta Do Sol,PT,67.01,overcast clouds,32.6667,-17.1,Hotel do Campo
272,Xianyang,CN,33.98,overcast clouds,34.3378,108.7026,铁路大厦
273,Lexington,US,46.29,light rain,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
274,Hofn,IS,27.79,scattered clouds,64.2539,-15.2082,Hótel Höfn
276,Buchanan,LR,89.56,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
277,Bashmakovo,RU,16.52,overcast clouds,53.2133,43.0342,Gostinitsa Ip Makarov
278,Sitrah,BH,62.6,clear sky,26.1547,50.6206,Al Bander Resort
279,Kahului,US,67.68,clear sky,20.8947,-156.47,Maui Seaside Hotel
280,Dvinskoy,RU,23.47,light snow,62.1535,45.1175,Gostinitsa Dvinskaya
281,Natal,BR,88.45,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
282,Nowa Sol,PL,39.06,overcast clouds,51.8033,15.717,Pensjonat Korona
283,Stornoway,GB,48.16,light rain,58.2093,-6.3865,Caladh Inn
284,Tahta,EG,63.95,broken clouds,26.7693,31.5021,shady waheed
285,North Platte,US,10.29,overcast clouds,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
289,Yuanping,CN,22.19,clear sky,38.7153,112.7575,Yuanping Xinghe Guesthouse
290,Luanda,AO,78.35,clear sky,-8.8368,13.2343,EPIC SANA Luanda
291,Vao,NC,77.74,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
293,Santa Rosa,PH,79.09,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
294,Vila Velha,BR,82.35,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
298,Charters Towers,AU,76.42,moderate rain,-20.1,146.2667,Cattleman's Rest Motor Inn
299,Bonavista,CA,29.12,broken clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
300,Bereda,ES,58.75,scattered clouds,43.2686,-7.5406,Pazo de Verdes
301,Arinos,BR,86.95,broken clouds,-15.9169,-46.1056,casa do bruno
302,Verkhovazhye,RU,21.65,overcast clouds,60.7472,42.0465,Guest house Uyut on Gagarina 4А
303,Rabo De Peixe,PT,63.28,few clouds,37.8,-25.5833,Quinta das Giestas
304,Doba,TD,84.61,few clouds,8.65,16.85,Restaurant Auberge La Pétrolière
305,Sorada,IN,66.92,clear sky,19.75,84.4333,PWD Guest House
306,Luwuk,ID,77.34,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
307,Ishigaki,JP,71.78,broken clouds,24.3448,124.1572,Ishigaki Resort Granvrio
308,Sabile,LV,23.16,overcast clouds,57.0458,22.5726,Abava rumba
309,Bengkulu,ID,76.46,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
310,Oriximina,BR,78.82,light rain,-1.7656,-55.8661,Pousada Tia Amélia
311,Gigmoto,PH,76.78,overcast clouds,13.7796,124.39,Cj's Travellers Inn
313,Dabhol,IN,68.88,clear sky,17.6,73.1667,Ashwamedh Resort
315,Tezu,IN,54.91,scattered clouds,27.9167,96.1667,Circuit House
316,Namatanai,PG,77.77,light rain,-3.6667,152.4333,Seagulls Inn Namatani
317,Lebu,CL,65.79,scattered clouds,-37.6167,-73.65,Hostal Las Lilas
318,Ahipara,NZ,66.51,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
319,Sao Miguel Do Araguaia,BR,86.13,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
320,Vilhena,BR,80.62,broken clouds,-12.7406,-60.1458,Hotel Mirage
321,Kodiak,US,36.91,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
322,Vardo,NO,44.8,broken clouds,70.3705,31.1107,Vardø Hotel AS
324,Eureka,US,47.01,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
328,Iranshahr,IR,60.64,clear sky,27.2025,60.6848,نیک سرشت
329,Petropavlovsk-Kamchatskiy,RU,24.78,light snow,53.0452,158.6483,The Hotel Petropavlovsky
330,Jacareacanga,BR,78.57,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
